Date,Target_Price,Sentiment_GDELT,VIX_Close,logP,ret_log
2020-06-12,228.9092,-0.5334,37.68,5.433325418374514,0.007916475378531906
2020-06-15,231.6944,-1.919,44.09,5.445419261961961,0.01209384358744714
2020-06-16,235.6732,-1.7342,34.28,5.462446099616471,0.01702683765451063
2020-06-17,236.4205,-0.9573,33.28,5.465611999200292,0.0031658995838208526
2020-06-18,237.061,-1.6648,33.83,5.468317491983806,0.002705492783513286
2020-06-19,237.0221,0.6624,32.07,5.468153385732866,-0.0001641062509394331
2020-06-22,239.8647,1.1559,35.22,5.480075014375212,0.01192162864234625
2020-06-23,241.9061,-1.533,31.71,5.4885496343298685,0.008474619954656148
2020-06-24,236.9191,0.4835,31.05,5.467718732650916,-0.020830901678952962
2020-06-25,239.1744,-3.3111,36.59,5.477192992937692,0.009474260286776115
2020-06-26,233.5264,-1.8124,33.01,5.453295132816415,-0.02389786012127626
2020-06-29,236.0733,-1.8327,35.05,5.46414235002186,0.010847217205444792
2020-06-30,240.7007,-2.1415,32.54,5.48355425296926,0.019411902947399362
2020-07-01,243.5102,-0.0681,30.96,5.495158830762363,0.01160457779310331
2020-07-02,245.1628,0.5307,28.33,5.501922479665053,0.0067636489026901
2020-07-06,251.1901,-3.2289,27.76,5.526210022989391,0.02428754332433769
2020-07-07,249.4596,-2.14,28.77,5.519296978232797,-0.0069130447565939335
2020-07-08,252.7455,-1.0976,28.95,5.5323830535877825,0.013086075354985738
2020-07-09,254.8744,-1.2063,28.18,5.540770874796704,0.008387821208921231
2020-07-10,256.6146,-1.9047,30.86,5.547575348458469,0.00680447366176562
2020-07-13,251.3359,0.0679,27.85,5.526790291489294,-0.02078505696917521
2020-07-14,253.1149,-3.7874,31.14,5.53384353583016,0.007053244340865739
2020-07-15,253.6301,-1.7111,29.15,5.5358769063716045,0.00203337054144459
2020-07-16,251.8997,-2.9737,28.41,5.529030992409066,-0.006845913962538752
2020-07-17,252.1913,-1.1235,27.15,5.5301879265044,0.0011569340953343499
2020-07-20,259.3463,-2.574,26.94,5.558164234260324,0.027976307755923635
2020-07-21,256.6438,-0.2019,24.08,5.5476891313016985,-0.010475102958625193
2020-07-22,257.5478,-0.1737,24.56,5.551205333944437,0.003516202642738442
2020-07-23,250.8206,-1.3366,23.97,5.524737942546778,-0.026467391397658524
2020-07-24,248.4389,-0.8579,27.96,5.515196940052899,-0.009541002493879347
2020-07-27,252.8718,-2.3691,26.6,5.532882640934287,0.017685700881387767
2020-07-28,249.6541,-1.2777,24.86,5.5200763598039515,-0.012806281130335329
2020-07-29,252.5316,-0.6929,25.16,5.531536389399844,0.01146002959589243
2020-07-30,253.8537,-1.4333,25.04,5.536758116823916,0.005221727424071787
2020-07-31,258.3839,-0.8209,24.79,5.554446463465768,0.017688346641852704
2020-08-03,261.8738,-1.1253,25.75,5.567862708327001,0.01341624486123294
2020-08-04,262.8459,-4.4689,24.01,5.571567928893851,0.003705220566849299
2020-08-05,263.4973,0.476,23.44,5.574043121249603,0.0024751923557522204
2020-08-06,266.9872,-1.6632,23.03,5.587200717176181,0.013157595926577947
2020-08-07,263.9056,-2.9868,23.45,5.575591463443285,-0.011609253732896008
2020-08-10,262.7779,1.6005,22.88,5.5713091887059845,-0.004282274737300362
2020-08-11,257.8005,-2.8259,21.85,5.552186029991181,-0.019123158714803523
2020-08-12,264.2847,-2.302,22.82,5.577026931171855,0.02484090118067428
2020-08-13,264.8875,-2.7629,22.2,5.5793052075466845,0.0022782763748292467
2020-08-14,264.5763,-1.5475,22.27,5.578129678508301,-0.0011755290383836936
2020-08-17,267.6483,-2.1508,22.52,5.589673805240665,0.011544126732363935
2020-08-18,270.2245,-2.2787,21.69,5.599253094990628,0.009579289749963138
2020-08-19,268.4066,-1.214,21.6,5.592502994959128,-0.006750100031499784
2020-08-20,272.1298,-1.2113,24.1,5.6062791583518345,0.013776163392706486
2020-08-21,274.0157,-1.6722,22.58,5.613185404016603,0.0069062456647683845
2020-08-24,275.7267,-0.6548,22.87,5.619410157736718,0.006224753720115217
2020-08-25,277.8946,-1.7721,22.16,5.6272419051095035,0.007831747372785358
2020-08-26,283.8246,-0.3839,22.14,5.648356441730481,0.02111453662097773
2020-08-27,282.94,0.3365,23.42,5.645234861030788,-0.0031215806996929274
2020-08-28,284.3788,0.8844,24.59,5.650307152253299,0.0050722912225102945
2020-08-31,286.6632,-2.1999,23.91,5.6583080074830665,0.0080008552297679
2020-09-01,291.5628,-0.1537,25.86,5.67525541998004,0.016947412496973513
2020-09-02,294.3238,-0.9216,26.01,5.684680521830322,0.009425101850282225
2020-09-03,279.4014,-0.6834,26.28,5.632649457547602,-0.052031064282719974
2020-09-04,275.6781,-1.7539,34.62,5.619233880707117,-0.013415576840484889
2020-09-08,262.4279,-2.4024,30.61,5.569976377637214,-0.04925750306990295
2020-09-09,270.137,-1.935,31.68,5.598929237718173,0.028952860080958764
2020-09-10,264.7514,-2.5121,28.67,5.5787912724750885,-0.020137965243084643
2020-09-11,262.914,-1.599,28.63,5.571826982505131,-0.006964289969957349
2020-09-14,267.4927,-2.5862,25.86,5.589092276244064,0.01726529373893282
2020-09-15,271.284,-1.1763,25.92,5.603166242621683,0.014073966377618596
2020-09-16,266.9581,-2.0186,25.31,5.58709171724668,-0.016074525375002757
2020-09-17,262.7877,-0.8776,28.22,5.571346481862162,-0.015745235384517997
2020-09-18,259.4338,-0.9161,26.65,5.558501564087854,-0.012844917774307518
2020-09-21,260.0559,-0.9943,28.04,5.56089660790634,0.0023950438184856537
2020-09-22,264.8875,-1.8367,28.61,5.5793052075466845,0.01840859964034447
2020-09-23,256.7993,-2.4027,27.02,5.548294845955393,-0.031010361591291336
2020-09-24,257.9951,-1.7493,29.54,5.552940592493201,0.004645746537807582
2020-09-25,263.993,0.1346,28.17,5.5759225876432685,0.022981995150067824
2020-09-28,269.476,-1.4958,27.15,5.596479332580187,0.020556744936918392
2020-09-29,268.2608,-0.8492,26.81,5.591959641650964,-0.00451969092922333
