Date,Target_Price
2015-11-10,105.41602325439452
2015-11-11,105.28575897216795
2015-11-12,104.2621078491211
2015-11-13,102.21480560302734
2015-11-16,103.6851577758789
2015-11-17,103.75028228759766
2015-11-18,105.74172973632812
2015-11-19,105.816162109375
2015-11-20,106.53273010253906
2015-11-23,106.2256317138672
2015-11-24,106.132568359375
2015-11-25,106.2256317138672
2015-11-27,106.37451934814452
2015-11-30,106.10465240478516
2015-12-01,107.16551208496094
2015-12-02,106.50477600097656
2015-12-03,104.69947814941406
2015-12-04,107.14691162109376
2015-12-07,106.66300201416016
2015-12-08,106.67229461669922
2015-12-09,105.0531005859375
2015-12-10,105.5277099609375
2015-12-11,103.09888458251952
2015-12-14,103.88053894042967
2015-12-15,104.51333618164062
2015-12-16,106.0674285888672
2015-12-17,104.52264404296876
