Date,y_true,y_pred
2024-08-23,477.8421325683594,467.9016100433873
2024-08-26,473.2030944824219,470.91432266338956
2024-08-27,474.6167297363281,468.6599244159606
2024-08-28,469.2310485839844,469.0618066898932
2024-08-29,468.5441589355469,464.83683971819477
2024-08-30,474.1289367675781,463.11922970938207
2024-09-03,459.7339477539063,467.97817178658073
2024-09-04,458.539306640625,456.9652652743934
2024-09-05,458.9674072265625,452.4928503206756
2024-09-06,446.67291259765625,453.19324848988975
2024-09-09,452.4169921875,443.5841344430482
2024-09-10,456.5981140136719,445.9513422191448
2024-09-11,466.5133361816406,451.4473090310275
2024-09-12,471.0926513671875,460.8914220883452
2024-09-13,473.2030944824219,466.169233409053
2024-09-16,471.112548828125,467.59488155021603
2024-09-17,471.3614196777344,465.133777296618
