Date,scope,n_articles,example_urls
2024-08-09,nasdaq_market,1721,https://3yonnews.com/1911478 | https://theenterpriseleader.com/2024/08/09/cyberark-software-nasdaqcybr-pt-raised-to-310-00-at-citigroup.html | https://foreignpolicy.com/2024/08/09/us-economy-global-market-turmoil-fed-interest-rates-recession/?tpcc=recirc_trending062921
2024-12-15,nasdaq_market,591,https://www.insidermonkey.com/blog/datadog-ddog-gains-macquaries-outperform-rating-leading-the-charge-in-ai-driven-observability-1407597/ | https://www.insidermonkey.com/blog/palo-alto-networks-panw-and-bell-canada-partner-to-revolutionize-ai-powered-cybersecurity-1407645/ | https://www.insidermonkey.com/blog/fortinet-ftnt-price-target-raised-by-mizuho-navigating-ai-trends-and-future-security-needs-1407643/
2025-04-22,nasdaq_market,1893,https://www.hankookilbo.com:443/News/Read/A2025042307120004543 | https://www.pr-inside.com/levi-korsinsky-notifies-shareholders-of-rocket-lab-usa-inc-rklb-r5096319.htm | https://biztoc.com/x/3f3e47f240660713
2015-02-19,broad_nasdaq,3153,http://www.ktvl.com/template/inews_wire/wires.national/3525751e-www.ktvl.com.shtml | http://www.thereporter.com/business/20150219/biz-break-solarcity-misses-mark-plans-to-lease-solyndra-facility | http://www.winonadailynews.com/news/national/as-investors-dump-utility-stocks-us-markets-edge-lower/article_6284e1be-4d32-55bd-9b5b-acbe72347918.html
2015-06-27,broad_nasdaq,554,http://seekingalpha.com/article/3287355-a-high-dividend-stock-yielding-9-percent-14-percent-below-book-value-and-major-insider-buying | http://finance.yahoo.com/news/biotech-short-sellers-prefer-amgen-220256213.html | http://www.virtualpressoffice.com/publicsiteContentFileAccess?fileContentId=2052981&fromOtherPageToDisableHistory=Y&menuName=News
2015-11-02,broad_nasdaq,3263,http://news.sina.com.hk/news/20151103/-19-4323071/1.html | http://wkrg.com/ap/business-highlights-86/ | http://www.montgomeryadvertiser.com/story/money/markets/2015/11/02/stocks-quiet-after-best-month-four-years/75030806/
2016-03-09,broad_nasdaq,2807,http://prwire.com.au/pr/58324/-292 | http://www.aktien-meldungen.de/Nachrichten/Nachrichtendienste/dpa-AFX/ROUNDUP-Aktien-New-York-Schluss-Moderate-Gewinne-dank-steigender-Oelpreise-5069948 | http://www.rtlz.nl/finance/beurs/ook-amerikaanse-beleggers-verwachten-veel-van-de-ecb
2016-07-15,broad_nasdaq,3205,http://host.madison.com/business/investment/markets-and-stocks/with-studio-purchase-hasbro-inc-follows-in-disney-s-footsteps/article_0c7f74ac-5fe9-5e46-97f9-a29ab7045b27.html | http://www.fuw.ch/newsticker-single/201607151142/aktien-new-york-schluss-mini-plus-reicht-dem-dow-fur-weiteren-rekord/ | http://investorplace.com/2016/07/why-herbalife-ltd-hlf-jabil-circuit-inc-jbl-and-westrock-co-wrk-are-3-of-todays-best-stocks/
2016-11-20,broad_nasdaq,736,https://www.nbr.co.nz/article/key-crowns-apec-summit-china-free-trade-upgrade-b-196952 | http://www.wgmd.com/3-stocks-you-can-safely-own-until-2030/ | https://www.nbr.co.nz/article/metro-glass-lifts-first-half-profit-5-b-196960
2017-03-28,broad_nasdaq,3605,http://m.philstar.com/breakingnews/show/0ef7becf5598a6e5afa807cf9de80de7?t=hsjnon188ec9uq5rn9k4a6e2l0 | http://www.newswiretoday.com/news/163346/Newest-Sonus-Session-Border-Controller-Provides-Enterprises-with-a-vCPE-Option-for-Securing-Unified-Communications/ | http://www.newswiretoday.com/news/163345/
2017-08-03,broad_nasdaq,2719,http://www.stltoday.com/business/business-highlights/article_7f99d88a-23c3-59a3-8d4f-3c824c23e5ab.html | http://www.reuters.com/article/global-markets-idUSL1N1KP1AR | http://www.dailyjournal.net/2017/08/03/financial-markets-box-19/
2017-12-11,broad_nasdaq,2826,http://www.nasdaq.com/article/these-2-facebook-rivals-are-nearing-breakouts-sp-500-futures-cm890001 | http://247wallst.com/investing/2017/12/11/disney-apple-pace-dow-to-monday-gain/ | http://www.nasdaq.com/article/south-korea-shares-may-test-resistance-at-2500-points-20171211-01095
2018-04-18,broad_nasdaq,3098,https://www.theage.com.au/business/investments/markets-live-asx-poised-to-lift-20180419-h0yymi.html | https://investorplace.com/2018/04/trades-for-tomorrow-wednesday/ | http://www.cerclefinance.com/default.asp?pub=valactu&localcode=&isin=&art=514878
2018-08-24,broad_nasdaq,2160,https://keskustelu.kauppalehti.fi/5/i/keskustelu/thread.jspa?messageID=7694451 | http://www.tewkesburyadmag.co.uk/news/national/16598608.sp-500-nasdaq-and-russell-2000-close-at-record-highs/ | https://www.straitstimes.com/business/banking/sgx-mas-explore-use-of-blockchain-tech-in-asset-trading
