Date,y_true,y_pred_hybrid,y_pred_no_vix
2024-08-13,460.5004577636719,449.5328467035777,445.76172
2024-08-14,460.64984130859375,456.4148896666457,454.08615
2024-08-15,472.2872619628906,459.06249310867065,456.08917
2024-08-16,472.8945007324219,470.0175391776688,465.18756
2024-08-19,479.1064453125,471.31688956580246,467.701
2024-08-20,478.10101318359375,476.846823997644,472.40945
2024-08-21,480.3309020996094,478.5592220124106,472.44235
2024-08-22,472.7153015136719,480.68275035320295,473.8868
2024-08-23,477.8421325683594,470.9141417718235,467.9016
2024-08-26,473.2030944824219,480.6817870984637,470.91434
2024-08-27,474.6167297363281,470.7895875041135,468.65994
2024-08-28,469.2310485839844,475.9726628336276,469.0618
2024-08-29,468.5441589355469,466.5175827803129,464.83685
2024-08-30,474.1289367675781,467.8243825518099,463.11926
2024-09-03,459.7339477539063,472.5992713090619,467.97818
2024-09-04,458.539306640625,456.4241371631031,456.96527
2024-09-05,458.9674072265625,451.7872044955009,452.49286
2024-09-06,446.67291259765625,461.6985313034691,453.19324
2024-09-09,452.4169921875,440.68344142665296,443.58414
2024-09-10,456.5981140136719,453.2623180563623,445.95135
2024-09-11,466.5133361816406,455.5088627779243,451.44733
2024-09-12,471.0926513671875,463.3535898507462,460.89142
2024-09-13,473.2030944824219,470.52304587865984,466.16922
2024-09-16,471.112548828125,470.2099542385598,467.59488
2024-09-17,471.3614196777344,468.5435082217836,465.1338
2024-09-18,469.3206481933594,470.8434611796508,464.5001
2024-09-19,481.1870727539063,465.6984045498624,463.12695
2024-09-20,480.2711791992188,483.8034474420908,473.3453
2024-09-23,481.5442504882813,477.7043741036328,475.43945
2024-09-24,483.8670043945313,481.1558687936289,475.70578
2024-09-25,484.3156127929688,484.07388147535664,477.414
2024-09-26,487.9543151855469,483.8231480709871,478.1351
2024-09-27,485.2427368164063,486.9780397744815,481.23947
2024-09-30,486.5586853027344,483.8329712079936,479.5484
2024-10-01,479.7796936035156,483.4475989165675,479.9104
2024-10-02,480.4576110839844,478.820995729476,474.3893
2024-10-03,480.0987243652344,477.56386032317,473.7272
2024-10-04,485.81097412109375,479.7859435894356,474.07632
2024-10-07,480.6071472167969,484.96979060284553,479.22696
2024-10-08,487.7848510742188,477.0708434833269,475.81903
2024-10-09,491.6229248046875,487.1480493148544,480.39777
2024-10-10,491.0646667480469,490.0130540058834,485.04694
2024-10-11,491.832275390625,490.0267516760472,484.88034
2024-10-14,495.9594421386719,488.86628137414255,484.76938
2024-10-15,489.3300476074219,495.4246485813796,488.28195
2024-10-16,489.3898620605469,485.2098391455812,483.36725
2024-10-17,489.7287902832031,488.1289874341804,481.97266
2024-10-18,492.9388427734375,488.0837462161809,482.72287
2024-10-21,493.8859252929688,492.2817952582416,486.0033
2024-10-22,494.4242248535156,492.2695900662515,487.51266
2024-10-23,486.84771728515625,493.82335847460735,487.82703
2024-10-24,490.7955017089844,484.34471430580527,481.02466
2024-10-25,493.7862243652344,490.6463419380362,482.87134
2024-10-28,493.865966796875,492.3503684816236,486.8182
2024-10-29,498.6112365722656,492.87242390357807,487.57782
2024-10-30,494.8429260253906,497.4513444592675,491.29504
2024-10-31,482.3517456054688,493.71339942951874,488.61658
2024-11-01,485.9206237792969,477.6743242618225,476.64133
2024-11-04,484.5050354003906,486.3354066751763,477.5041
2024-11-05,490.6858520507813,482.4081122689412,478.25055
2024-11-06,504.014404296875,489.8844875125677,483.8648
2024-11-07,511.9497375488281,506.49392485171074,496.55533
2024-11-08,512.5479736328125,508.7346327420453,505.22977
2024-11-11,512.2489013671875,509.4461748451651,505.53552
2024-11-12,511.32171630859375,510.94617085019206,503.8889
2024-11-13,510.6637878417969,509.1838742893998,502.64246
2024-11-14,507.1148376464844,510.360689750299,502.25146
2024-11-15,495.0323486328125,505.48605473525697,499.57047
2024-11-18,498.4716491699219,491.9340004418357,488.82422
2024-11-19,501.9010009765625,498.2517502122408,490.17926
2024-11-20,501.6119079589844,502.54673006296576,495.02158
2024-11-21,503.4163208007813,500.21326306771846,495.67014
2024-11-22,504.2237854003906,502.7114535036125,496.56198
2024-11-25,505.0213012695313,503.9699157627404,497.0672
2024-11-26,507.7328796386719,503.7468773428712,497.52112
2024-11-27,503.73529052734375,506.67889790699473,499.78735
2024-11-29,508.1615295410156,500.1700308131248,496.65576
2024-12-02,513.6943359375,507.2276304279893,499.59583
2024-12-03,515.2694702148438,511.5990377081103,505.48172
2024-12-04,521.6397094726562,513.506374023834,507.72372
2024-12-05,520.1942138671875,521.1377442458004,512.9638
2024-12-06,524.8497314453125,518.4471371576648,512.3721
2024-12-09,520.762451171875,524.458697050386,515.66376
2024-12-10,518.9879150390625,519.5013889516176,512.8217
2024-12-11,528.279052734375,516.9285311115282,510.42758
2024-12-12,524.86962890625,529.1663545653679,518.62366
2024-12-13,528.88720703125,522.9165931190637,517.6139
2024-12-16,536.5035400390625,527.770350142557,519.9737
2024-12-17,534.1408081054688,536.6984242000432,527.15186
2024-12-18,514.8706665039062,530.9713002887249,526.02106
2024-12-19,512.5778198242188,511.1785082351663,507.88257
2024-12-20,517.053955078125,509.42697652419554,502.65198
2024-12-23,522.0914306640625,516.1744797513221,508.06436
2024-12-24,529.1708984375,525.2481050588624,514.515
2024-12-26,528.8114013671875,526.8092101739289,521.2984
2024-12-27,521.7818603515625,526.9753700725685,521.11487
2024-12-30,514.8422241210938,516.2900428460384,513.6531
2024-12-31,510.4687805175781,511.9270269812537,505.96088
2025-01-02,509.4702453613281,508.1893079990893,501.66223
2025-01-03,517.8078002929688,508.8224870995114,501.20615
2025-01-06,523.7589111328125,517.1587025832384,509.25278
2025-01-07,514.412841796875,523.2780702679432,516.1735
2025-01-08,514.5027465820312,510.62463707109816,508.08054
2025-01-10,506.4347839355469,513.761944554031,505.44608
