Horizon,Model,Block,n_obs,RMSE,MAE,MDA
20,LSTM_SENT,7,22,0.08664,0.0706,0.22727
20,LSTM_SENT,8,22,0.02253,0.01703,0.86364
20,LSTM_SENT,9,20,0.02801,0.02254,1.0
20,LSTM_SENT,10,23,0.01466,0.01236,0.95652
20,LSTM_SENT,11,20,0.02379,0.01751,1.0
20,LSTM_SENT,12,21,0.03528,0.03041,0.33333
20,RW,1,21,0.0487,0.04386,0.0
20,RW,2,20,0.02439,0.02112,0.0
20,RW,3,20,0.03184,0.02382,0.0
20,RW,4,22,0.04977,0.04171,0.0
20,RW,5,22,0.05412,0.05331,0.0
20,RW,6,19,0.04998,0.04318,0.0
20,RW,7,22,0.0714,0.05637,0.0
20,RW,8,22,0.02926,0.02292,0.0
20,RW,9,20,0.04183,0.03678,0.0
20,RW,10,23,0.02822,0.02421,0.0
20,RW,11,20,0.04188,0.03748,0.0
20,RW,12,21,0.02491,0.02153,0.0
20,SARIMAX,1,21,0.04463,0.03972,1.0
20,SARIMAX,2,20,0.01707,0.01373,0.9
20,SARIMAX,3,20,0.0385,0.03037,0.2
20,SARIMAX,4,22,0.04322,0.03841,0.63636
20,SARIMAX,5,22,0.04572,0.0446,1.0
20,SARIMAX,6,19,0.04883,0.04267,0.57895
20,SARIMAX,7,22,0.076,0.06066,0.22727
20,SARIMAX,8,22,0.02002,0.01647,0.86364
20,SARIMAX,9,20,0.02746,0.0222,1.0
20,SARIMAX,10,23,0.01427,0.01328,0.95652
20,SARIMAX,11,20,0.02643,0.02146,1.0
20,SARIMAX,12,21,0.03201,0.02707,0.33333
